"game_id","game_date","team_id","team_abbreviation","team_name","matchup","wl","pts","home_away","pts_opp","point_diff","team_abbreviation_teamstat","pts_teamstat","reb","ast","blk","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct"
42400216,,22548578332,BOS,,,,81,,,,,,36,19,3,31,86,4.702,12,40,3.366,7,10,4.5
42400216,,24159191280,NYK,,,,119,,,,,,55,25,6,42,91,4.239,16,45,3.25,19,21,5.25
42400227,,22548578402,DEN,,,,93,,,,,,47,20,2,33,84,4.159,10,44,2.508,17,22,3.068
42400227,,22548578640,OKC,,,,125,,,,,,44,28,3,47,96,5.9510000000000005,12,39,4.1,19,24,4.389
42400311,,24159191250,MIN,,,,88,,,,,,42,18,7,29,83,3.838,15,51,2.213,15,21,4.047
42400311,,22548578640,OKC,,,,114,,,,,,46,27,3,41,82,6.5920000000000005,11,21,5.666,21,26,3.286
42400301,,24159191280,NYK,,,,135,,,,,,46,24,8,48,94,4.219,11,34,1.983,28,40,3.475
42400301,,24159191310,IND,,,,138,,,,,,39,26,3,51,100,4.418,15,37,2.1390000000000002,21,28,5.85
42400312,,24159191250,MIN,,,,103,,,,,,41,20,7,36,87,3.119,11,39,1.944,20,26,4.867
42400312,,22548578640,OKC,,,,118,,,,,,42,30,3,45,90,3.575,9,33,1.952,19,24,2.2
42400302,,24159191280,NYK,,,,109,,,,,,38,18,4,40,84,3.689,11,32,1.733,18,21,5.0
42400302,,24159191310,IND,,,,114,,,,,,32,26,3,43,83,4.286,13,30,3.484,15,21,3.464
42400313,,24159191250,MIN,,,,143,,,,,,50,30,3,55,96,8.07,20,40,6.3580000000000005,13,17,4.5
42400313,,22548578640,OKC,,,,101,,,,,,31,19,3,35,86,5.825,14,44,4.466,17,19,5.833
42400303,,24159191280,NYK,,,,106,,,,,,37,13,4,34,78,4.72,11,32,2.213,27,30,4.833
42400303,,24159191310,IND,,,,100,,,,,,38,21,4,34,77,4.495,5,25,1.75,27,33,6.933
42400314,,24159191250,MIN,,,,126,,,,,,41,30,3,43,84,4.656,18,41,3.293,22,28,5.964
42400314,,22548578640,OKC,,,,128,,,,,,36,22,5,48,95,5.022,16,37,3.386,16,21,2.857
42400304,,24159191280,NYK,,,,121,,,,,,44,17,4,38,82,4.195,12,28,4.109,33,39,5.306
42400304,,24159191310,IND,,,,130,,,,,,33,29,4,45,88,5.836,13,32,2.833,27,32,4.742
42400315,,24159191250,MIN,,,,94,,,,,,39,16,6,35,85,6.922000000000001,12,34,4.343,12,15,2.467
42400315,,22548578640,OKC,,,,124,,,,,,46,26,8,46,88,5.872,14,35,3.483,18,21,3.467
42400305,,24159191280,NYK,,,,111,,,,,,45,22,3,44,89,6.048,8,29,2.464,15,22,3.267
42400305,,24159191310,IND,,,,94,,,,,,40,20,7,30,74,4.605,10,30,3.533,24,29,5.3
42400306,,24159191280,NYK,,,,108,,,,,,41,23,6,41,86,3.6260000000000003,9,32,1.643,17,26,5.434
42400306,,24159191310,IND,,,,125,,,,,,36,30,9,46,85,5.738,17,33,4.317,16,19,5.727
42400401,,24159191310,IND,,,,111,,,,,,56,24,7,39,82,5.16,18,39,5.073,15,21,3.467
42400401,,22548578640,OKC,,,,110,,,,,,39,13,6,39,98,3.98,11,30,2.556,21,24,5.175
42400402,,24159191310,IND,,,,107,,,,,,35,27,6,37,82,5.138,14,40,3.775,19,26,3.3529999999999998
42400402,,22548578640,OKC,,,,123,,,,,,43,25,4,40,82,5.182,14,36,3.241,29,33,5.806
42400403,,24159191310,IND,,,,116,,,,,,36,24,11,44,85,4.598,9,27,2.417,19,22,4.208
42400403,,22548578640,OKC,,,,107,,,,,,42,16,4,37,79,4.517,10,22,3.633,23,30,3.858
42400404,,24159191310,IND,,,,104,,,,,,33,21,3,34,80,4.345,11,36,3.276,25,33,5.625
42400404,,22548578640,OKC,,,,111,,,,,,43,11,3,37,78,4.199,3,16,1.75,34,38,4.714
42400405,,24159191310,IND,,,,109,,,,,,50,23,4,37,82,4.839,11,30,2.75,24,30,6.732
42400405,,22548578640,OKC,,,,120,,,,,,45,24,12,40,94,3.5100000000000002,14,32,2.754,26,32,3.1790000000000003
42400406,,24159191310,IND,,,,108,,,,,,46,23,5,38,92,4.642,15,42,3.016,17,25,5.834
42400406,,22548578640,OKC,,,,91,,,,,,41,14,4,31,74,6.101,8,30,2.784,21,26,5.175
42400407,,24159191310,IND,,,,91,,,,,,45,17,4,29,70,3.129,11,28,2.883,22,29,3.654
42400407,,22548578640,OKC,,,,103,,,,,,40,20,8,35,87,3.513,11,40,2.242,22,31,3.042
